addressLine1,formattedAddress,city,state,zipCode,price,addressLine2,county,bedrooms,bathrooms,squareFootage,propertyType,createdDate,lastSeen,status,removedDate,listedDate,daysOnMarket,yearBuilt,id,latitude,longitude,lotSize
92 Sw 3rd St,"92 Sw 3rd St, Miami, FL 33130",Miami,FL,33130,3400,,Miami-Dade,2.0,2.0,930.0,Apartment,2019-09-25T05:33:49.762Z,2023-06-12T00:00:00.000Z,Active,,2023-01-10T00:00:00.000Z,154,2010.0,"92-Sw-3rd-St,-Miami,-FL-33130",25.769557,-80.195198,
92 Sw 3rd St,"92 Sw 3rd St, Apt 2412, Miami, FL 33130",Miami,FL,33130,4100,Apt 2412,Miami-Dade,2.0,2.0,1099.0,Condo,2019-10-29T07:21:28.252Z,2023-06-12T00:00:00.000Z,Active,,2023-05-12T00:00:00.000Z,32,2010.0,"92-Sw-3rd-St,-Apt-2412,-Miami,-FL-33130",25.769557,-80.195198,
92 Sw 3rd St,"92 Sw 3rd St, Apt 3306, Miami, FL 33130",Miami,FL,33130,3600,Apt 3306,Miami-Dade,2.0,2.0,930.0,Condo,2019-09-17T19:14:34.474Z,2023-06-12T00:00:00.000Z,Active,,2023-01-05T00:00:00.000Z,159,2010.0,"92-Sw-3rd-St,-Apt-3306,-Miami,-FL-33130",25.769557,-80.195198,
92 Sw 3rd St,"92 Sw 3rd St, Apt 4409, Miami, FL 33130",Miami,FL,33130,3000,Apt 4409,Miami-Dade,1.0,1.0,764.0,Condo,2019-08-03T09:37:07.764Z,2023-06-12T00:00:00.000Z,Active,,2023-05-10T00:00:00.000Z,34,2010.0,"92-Sw-3rd-St,-Apt-4409,-Miami,-FL-33130",25.769557,-80.195198,
9300 Sw 137th Ave,"9300 Sw 137th Ave, Miami, FL 33186",Miami,FL,33186,1840,,Miami-Dade,1.0,1.0,,Apartment,2019-10-29T06:24:55.474Z,2023-06-12T00:00:00.000Z,Active,,2023-02-22T00:00:00.000Z,111,1987.0,"9300-Sw-137th-Ave,-Miami,-FL-33186",25.68107,-80.41742,
9435 Fontainebleau Blvd,"9435 Fontainebleau Blvd, Unit 208-17, Miami, FL 33172",Miami,FL,33172,2600,Unit 208-17,Miami-Dade,2.0,2.0,1000.0,Apartment,2019-04-26T14:24:22.732Z,2023-06-12T00:00:00.000Z,Active,,2023-04-11T00:00:00.000Z,63,1985.0,"9435-Fontainebleau-Blvd,-Unit-208-17,-Miami,-FL-33172",25.775823,-80.348778,
950 Brickell Bay Dr,"950 Brickell Bay Dr, Apt 800, Miami, FL 33131",Miami,FL,33131,2800,Apt 800,Miami-Dade,1.0,1.0,704.0,Condo,2019-04-26T15:46:58.744Z,2023-06-12T00:00:00.000Z,Active,,2023-05-05T00:00:00.000Z,39,2008.0,"950-Brickell-Bay-Dr,-Apt-800,-Miami,-FL-33131",25.76501,-80.190169,
951 Brickell Ave,"951 Brickell Ave, Apt 2102, Miami, FL 33131",Miami,FL,33131,3350,Apt 2102,Miami-Dade,1.0,1.0,702.0,Condo,2019-09-19T14:33:01.102Z,2023-06-12T00:00:00.000Z,Active,,2023-05-30T00:00:00.000Z,14,2008.0,"951-Brickell-Ave,-Apt-2102,-Miami,-FL-33131",25.764599,-80.190711,
951 Brickell Ave,"951 Brickell Ave, Apt 3509, Miami, FL 33131",Miami,FL,33131,2950,Apt 3509,Miami-Dade,1.0,1.0,639.0,Condo,2019-08-03T09:26:58.480Z,2023-06-12T00:00:00.000Z,Active,,2023-05-04T00:00:00.000Z,40,2008.0,"951-Brickell-Ave,-Apt-3509,-Miami,-FL-33131",25.764599,-80.190711,
951 Brickell Ave,"951 Brickell Ave, Apt 3508, Miami, FL 33131",Miami,FL,33131,4100,Apt 3508,Miami-Dade,1.0,1.0,639.0,Condo,2019-04-26T17:49:10.085Z,2023-06-12T00:00:00.000Z,Active,,2023-03-01T00:00:00.000Z,104,2008.0,"951-Brickell-Ave,-Apt-3508,-Miami,-FL-33131",25.764599,-80.190711,
951 Brickell Ave,"951 Brickell Ave, Apt 4005, Miami, FL 33131",Miami,FL,33131,4700,Apt 4005,Miami-Dade,2.0,2.0,1120.0,Condo,2019-04-26T23:41:49.357Z,2023-06-12T00:00:00.000Z,Active,,2023-04-18T00:00:00.000Z,56,2008.0,"951-Brickell-Ave,-Apt-4005,-Miami,-FL-33131",25.764599,-80.190711,
971 W Flagler St,"971 W Flagler St, Apt 16, Miami, FL 33130",Miami,FL,33130,1900,Apt 16,Miami-Dade,1.0,1.0,650.0,Apartment,2019-10-29T14:30:50.420Z,2023-06-12T00:00:00.000Z,Active,,2023-06-08T00:00:00.000Z,5,,"971-W-Flagler-St,-Apt-16,-Miami,-FL-33130",25.773969,-80.210815,
971 W Flagler St,"971 W Flagler St, Apt 1, Miami, FL 33130",Miami,FL,33130,2700,Apt 1,Miami-Dade,2.0,1.0,880.0,Apartment,2019-08-25T01:52:45.374Z,2023-06-12T00:00:00.000Z,Active,,2023-06-08T00:00:00.000Z,5,,"971-W-Flagler-St,-Apt-1,-Miami,-FL-33130",25.773969,-80.210815,
971 W Flagler St,"971 W Flagler St, Apt 2, Miami, FL 33130",Miami,FL,33130,1900,Apt 2,Miami-Dade,1.0,1.0,650.0,Apartment,2019-08-25T01:52:45.374Z,2023-06-12T00:00:00.000Z,Active,,2023-06-08T00:00:00.000Z,5,,"971-W-Flagler-St,-Apt-2,-Miami,-FL-33130",25.773969,-80.210815,
971 W Flagler St,"971 W Flagler St, Unit 11, Miami, FL 33130",Miami,FL,33130,2500,Unit 11,Miami-Dade,2.0,1.0,800.0,Apartment,2019-10-29T08:40:43.746Z,2023-06-12T00:00:00.000Z,Active,,2023-06-08T00:00:00.000Z,5,,"971-W-Flagler-St,-Unit-11,-Miami,-FL-33130",25.773969,-80.210815,
971 W Flagler St,"971 W Flagler St, Apt 8, Miami, FL 33130",Miami,FL,33130,1900,Apt 8,Miami-Dade,1.0,1.0,586.0,Apartment,2019-08-25T01:45:59.332Z,2023-06-12T00:00:00.000Z,Active,,2023-06-08T00:00:00.000Z,5,,"971-W-Flagler-St,-Apt-8,-Miami,-FL-33130",25.773969,-80.210815,
971 W Flagler St,"971 W Flagler St, Apt 27, Miami, FL 33130",Miami,FL,33130,2500,Apt 27,Miami-Dade,2.0,1.0,800.0,Apartment,2019-09-19T15:42:30.259Z,2023-06-12T00:00:00.000Z,Active,,2023-06-08T00:00:00.000Z,5,,"971-W-Flagler-St,-Apt-27,-Miami,-FL-33130",25.773969,-80.210815,
971 W Flagler St,"971 W Flagler St, Apt 24, Miami, FL 33130",Miami,FL,33130,1900,Apt 24,Miami-Dade,1.0,1.0,540.0,Apartment,2019-08-25T01:45:59.332Z,2023-06-12T00:00:00.000Z,Active,,2023-06-08T00:00:00.000Z,5,,"971-W-Flagler-St,-Apt-24,-Miami,-FL-33130",25.773969,-80.210815,
9729 Hammocks Blvd,"9729 Hammocks Blvd, Unit 104E, Miami, FL 33196",Miami,FL,33196,1900,Unit 104E,Miami-Dade,2.0,2.0,870.0,Condo,2019-09-19T14:30:21.296Z,2023-06-12T00:00:00.000Z,Active,,2023-05-08T00:00:00.000Z,36,1983.0,"9729-Hammocks-Blvd,-Unit-104E,-Miami,-FL-33196",25.674513,-80.437857,
987 Sw 37th Ave,"987 Sw 37th Ave, Miami, FL 33135",Miami,FL,33135,3588,,Miami-Dade,2.0,1.0,969.0,Apartment,2019-10-29T07:02:25.831Z,2023-06-12T00:00:00.000Z,Active,,2023-04-14T00:00:00.000Z,60,2014.0,"987-Sw-37th-Ave,-Miami,-FL-33135",25.762211,-80.254586,
999 Sw 1st Ave,"999 Sw 1st Ave, Apt 1403, Miami, FL 33130",Miami,FL,33130,3450,Apt 1403,Miami-Dade,1.0,1.0,821.0,Condo,2019-08-03T07:57:48.152Z,2023-06-12T00:00:00.000Z,Active,,2023-05-16T00:00:00.000Z,28,2015.0,"999-Sw-1st-Ave,-Apt-1403,-Miami,-FL-33130",25.7646,-80.19498,
999 Sw 1st Ave,"999 Sw 1st Ave, Apt 1401, Miami, FL 33130",Miami,FL,33130,3250,Apt 1401,Miami-Dade,1.0,1.0,760.0,Condo,2019-08-03T09:48:59.238Z,2023-06-12T00:00:00.000Z,Active,,2023-05-25T00:00:00.000Z,19,2015.0,"999-Sw-1st-Ave,-Apt-1401,-Miami,-FL-33130",25.7646,-80.19498,
999 Sw 1st Ave,"999 Sw 1st Ave, Apt 2505, Miami, FL 33130",Miami,FL,33130,4500,Apt 2505,Miami-Dade,2.0,2.0,1274.0,Condo,2019-08-03T08:07:55.530Z,2023-06-12T00:00:00.000Z,Active,,2023-06-05T00:00:00.000Z,8,2015.0,"999-Sw-1st-Ave,-Apt-2505,-Miami,-FL-33130",25.7646,-80.19498,
999 Sw 1st Ave,"999 Sw 1st Ave, Apt 2701, Miami, FL 33130",Miami,FL,33130,3000,Apt 2701,Miami-Dade,1.0,1.0,762.0,Condo,2019-08-03T10:36:42.229Z,2023-06-12T00:00:00.000Z,Active,,2023-03-28T00:00:00.000Z,77,2015.0,"999-Sw-1st-Ave,-Apt-2701,-Miami,-FL-33130",25.7646,-80.19498,
999 Sw 1st Ave,"999 Sw 1st Ave, Apt 2717, Miami, FL 33130",Miami,FL,33130,6000,Apt 2717,Miami-Dade,3.0,2.0,1438.0,Apartment,2019-08-03T09:08:01.651Z,2023-06-12T00:00:00.000Z,Active,,2023-05-04T00:00:00.000Z,40,2015.0,"999-Sw-1st-Ave,-Apt-2717,-Miami,-FL-33130",25.7646,-80.19498,1600.0
1600 Ne 1st Ave,"1600 Ne 1st Ave, Apt 1718, Miami, FL 33132",Miami,FL,33132,3500,Apt 1718,Miami-Dade,1.0,1.0,754.0,Condo,2019-11-08T07:54:56.278Z,2023-06-12T00:00:00.000Z,Active,,2023-02-16T00:00:00.000Z,117,2018.0,"1600-Ne-1st-Ave,-Apt-1718,-Miami,-FL-33132",25.791004,-80.192758,
10794 N Kendall Dr,"10794 N Kendall Dr, Apt B24, Miami, FL 33176",Miami,FL,33176,2500,Apt B24,Miami-Dade,3.0,2.0,1130.0,Condo,2019-11-08T07:56:52.174Z,2023-06-12T00:00:00.000Z,Active,,2023-05-03T00:00:00.000Z,41,1968.0,"10794-N-Kendall-Dr,-Apt-B24,-Miami,-FL-33176",25.685258,-80.367572,
2900 Ne 7th Ave,"2900 Ne 7th Ave, Miami, FL 33137",Miami,FL,33137,13000,,Miami-Dade,3.0,3.0,912.0,Condo,2019-11-08T08:03:29.173Z,2023-06-12T00:00:00.000Z,Active,,2023-06-05T00:00:00.000Z,8,2017.0,"2900-Ne-7th-Ave,-Miami,-FL-33137",25.804983,-80.185806,
1915 Brickell Ave,"1915 Brickell Ave, Apt C410, Miami, FL 33129",Miami,FL,33129,4000,Apt C410,Miami-Dade,2.0,2.0,1316.0,Apartment,2019-11-08T08:05:09.458Z,2023-06-12T00:00:00.000Z,Active,,2023-05-12T00:00:00.000Z,32,1980.0,"1915-Brickell-Ave,-Apt-C410,-Miami,-FL-33129",25.753344,-80.197549,
540 Brickell Key Dr,"540 Brickell Key Dr, Apt 823, Miami, FL 33131",Miami,FL,33131,5000,Apt 823,Miami-Dade,2.0,2.0,1030.0,Apartment,2019-11-08T08:10:07.980Z,2023-06-12T00:00:00.000Z,Active,,2023-02-23T00:00:00.000Z,110,1991.0,"540-Brickell-Key-Dr,-Apt-823,-Miami,-FL-33131",25.767964,-80.183887,1030.0
275 Ne 18th St,"275 Ne 18th St, Apt 305, Miami, FL 33132",Miami,FL,33132,2500,Apt 305,Miami-Dade,1.0,1.0,809.0,Condo,2019-11-08T08:11:51.495Z,2023-06-12T00:00:00.000Z,Active,,2023-04-14T00:00:00.000Z,60,2005.0,"275-Ne-18th-St,-Apt-305,-Miami,-FL-33132",25.793965,-80.189463,
3470 E Coast Ave,"3470 E Coast Ave, Apt H1904, Miami, FL 33137",Miami,FL,33137,4350,Apt H1904,Miami-Dade,2.0,2.0,1242.0,Condo,2019-11-08T08:16:25.248Z,2023-06-12T00:00:00.000Z,Active,,2023-05-15T00:00:00.000Z,29,2007.0,"3470-E-Coast-Ave,-Apt-H1904,-Miami,-FL-33137",25.809362,-80.191939,
11701 Sw 108th Ln,"11701 Sw 108th Ln, Miami, FL 33186",Miami,FL,33186,2600,,Miami-Dade,2.0,2.0,1368.0,Townhouse,2019-11-08T08:16:29.224Z,2023-06-12T00:00:00.000Z,Active,,2023-05-24T00:00:00.000Z,20,1984.0,"11701-Sw-108th-Ln,-Miami,-FL-33186",25.667161,-80.384389,
1632 S Bayshore Ct,"1632 S Bayshore Ct, Apt 402, Miami, FL 33133",Miami,FL,33133,5000,Apt 402,Miami-Dade,2.0,2.0,1139.0,Condo,2019-11-08T08:18:15.898Z,2023-06-12T00:00:00.000Z,Active,,2023-06-03T00:00:00.000Z,10,1981.0,"1632-S-Bayshore-Ct,-Apt-402,-Miami,-FL-33133",25.739749,-80.217313,
244 Biscayne Blvd,"244 Biscayne Blvd, Apt 3006, Miami, FL 33132",Miami,FL,33132,3500,Apt 3006,Miami-Dade,1.0,1.5,806.0,Condo,2019-11-08T08:18:17.118Z,2023-06-12T00:00:00.000Z,Active,,2023-04-19T00:00:00.000Z,55,2008.0,"244-Biscayne-Blvd,-Apt-3006,-Miami,-FL-33132",25.776994,-80.1888,
3120 Mary St,"3120 Mary St, Unit 3120, Miami, FL 33133",Miami,FL,33133,8500,Unit 3120,Miami-Dade,4.0,3.0,2100.0,Townhouse,2019-11-08T08:22:38.120Z,2023-06-12T00:00:00.000Z,Active,,2023-06-08T00:00:00.000Z,5,1980.0,"3120-Mary-St,-Unit-3120,-Miami,-FL-33133",25.733259,-80.240058,3250.0
480 Ne 30th St,"480 Ne 30th St, Apt 902, Miami, FL 33137",Miami,FL,33137,2800,Apt 902,Miami-Dade,1.0,1.5,828.0,Condo,2019-11-08T08:28:08.236Z,2023-06-12T00:00:00.000Z,Active,,2023-05-26T00:00:00.000Z,18,2006.0,"480-Ne-30th-St,-Apt-902,-Miami,-FL-33137",25.805193,-80.186777,
808 Brickell Key Dr,"808 Brickell Key Dr, Apt 2903, Miami, FL 33131",Miami,FL,33131,3900,Apt 2903,Miami-Dade,1.0,1.5,959.0,Condo,2019-11-08T08:28:09.124Z,2023-06-12T00:00:00.000Z,Active,,2023-03-08T00:00:00.000Z,97,1999.0,"808-Brickell-Key-Dr,-Apt-2903,-Miami,-FL-33131",25.768642,-80.183128,
6969 Sw 82nd Ct,"6969 Sw 82nd Ct, Miami, FL 33143",Miami,FL,33143,5100,,Miami-Dade,4.0,2.0,2270.0,Single Family,2019-11-08T08:28:11.621Z,2023-06-12T00:00:00.000Z,Active,,2023-05-20T00:00:00.000Z,24,1964.0,"6969-Sw-82nd-Ct,-Miami,-FL-33143",25.704587,-80.327195,24090.0
